Wav_path,Txt_path,Prompts
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0144.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0144.txt,harp
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0134.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0134.txt,mitten
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0052.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0052.txt,forward
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0084.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0084.txt,hem
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0066.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0066.txt,lick
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0044.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0044.txt,near
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0095.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0095.txt,leak
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0013.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0013.txt,no
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0152.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0152.txt,tell
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0133.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0133.txt,It eventually became a rather proud claim
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0032.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0032.txt,Two other cases also were under advisement
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0003.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0003.txt,though
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0089.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0089.txt,loyal
